               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11641,             0.31774,                   0,              0.0605,             0.20348,            0.037614,           0.0084301,             0.10897,             0.31849,                   0,             0.00011,             0.00011,             0.09901
                   1,             0.11064,             0.30731,                   0,              0.0845,             0.28419,            0.062737,            0.013531,             0.10389,             0.29406,                   0,          0.00022998,          0.00022998,             0.09793
                   2,             0.10812,             0.26956,                   0,            0.036333,              0.1222,            0.020488,           0.0049148,             0.10189,             0.26736,                   0,          0.00034988,          0.00034988,             0.09685
                   3,             0.10657,             0.25276,                   0,              0.0455,             0.15303,            0.026276,           0.0059582,             0.10072,              0.2525,                   0,          0.00046963,          0.00046963,             0.09577
                   4,             0.10625,             0.23864,                   0,             0.12683,             0.42657,             0.11909,            0.026694,             0.10013,             0.24501,                   0,          0.00058917,          0.00058917,            0.094689
                   5,             0.10486,             0.23527,                   0,             0.13649,             0.37604,             0.10655,            0.024721,            0.099696,             0.24171,                   0,          0.00070844,          0.00070844,            0.093608
                   6,             0.10573,             0.22996,                   0,             0.13102,              0.3963,             0.13284,            0.030098,            0.099457,             0.24028,                   0,          0.00082738,          0.00082738,            0.092527
                   7,             0.10482,             0.22963,                   0,             0.14871,             0.34753,             0.13996,            0.030704,            0.099369,             0.23947,                   0,          0.00094592,          0.00094592,            0.091446
                   8,             0.10444,             0.23023,                   0,             0.13788,             0.38397,              0.1401,            0.030177,            0.099285,             0.23929,                   0,            0.001064,            0.001064,            0.090364
                   9,             0.10359,             0.23589,                   0,              0.2214,              0.2316,             0.13389,            0.028458,            0.099191,             0.23908,                   0,           0.0011816,           0.0011816,            0.089282
                  10,             0.10364,             0.23386,                   0,             0.13698,             0.36715,             0.11874,             0.02562,            0.099119,             0.23873,                   0,           0.0012985,           0.0012985,            0.088199
                  11,             0.10447,              0.2269,                   0,              0.1774,             0.23318,             0.11138,            0.023723,            0.099105,             0.23835,                   0,           0.0014149,           0.0014149,            0.087115
                  12,             0.10363,             0.22594,                   0,             0.17924,             0.29652,             0.12124,            0.025772,            0.099101,             0.23639,                   0,           0.0015305,           0.0015305,            0.086031
                  13,             0.10248,             0.22801,                   0,             0.18552,             0.29204,             0.12224,            0.027094,            0.099056,             0.23511,                   0,           0.0016454,           0.0016454,            0.084945
                  14,             0.10369,             0.22058,                   0,             0.18394,             0.36659,             0.13023,            0.030108,            0.099042,             0.23155,                   0,           0.0017594,           0.0017594,            0.083859
